"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Japan","2012","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2014","0","1"
"Japan","2011","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","1050806","1"
"Japan","2011","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","88492","1"
"Japan","2011","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","79755","1"
"Japan","2011","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","87512","1"
"Japan","2011","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","85254","1"
"Japan","2011","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","86491","1"
"Japan","2011","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","87266","1"
"Japan","2011","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","91383","1"
"Japan","2011","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","93066","1"
"Japan","2011","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","92497","1"
"Japan","2011","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","89180","1"
"Japan","2011","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","84667","1"
"Japan","2011","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","85243","1"
"Japan","2011","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0","1"
"Japan","2010","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","1071304","1"
"Japan","2010","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","90577","1"
"Japan","2010","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","81334","1"
"Japan","2010","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","87853","1"
"Japan","2010","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","87312","1"
"Japan","2010","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","86721","1"
"Japan","2010","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","89532","1"
"Japan","2010","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","93040","1"
"Japan","2010","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","92467","1"
"Japan","2010","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","92104","1"
"Japan","2010","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","92270","1"
"Japan","2010","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","88225","1"
"Japan","2010","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","89869","1"
"Japan","2010","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2012","0","1"
"Japan","2009","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2011","1070035","1"
"Japan","2009","Total","January","Data tabulated by year of occurrence","Final figure, complete","2011","91320","1"
