"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Belarus","1993","Total","March","Data tabulated by year of occurrence","Final figure, complete","1995","10449",""
"Belarus","1993","Total","April","Data tabulated by year of occurrence","Final figure, complete","1995","10273",""
"Belarus","1993","Total","May","Data tabulated by year of occurrence","Final figure, complete","1995","10404",""
"Belarus","1993","Total","June","Data tabulated by year of occurrence","Final figure, complete","1995","10050",""
"Belarus","1993","Total","July","Data tabulated by year of occurrence","Final figure, complete","1995","10419",""
"Belarus","1993","Total","August","Data tabulated by year of occurrence","Final figure, complete","1995","9988",""
"Belarus","1993","Total","September","Data tabulated by year of occurrence","Final figure, complete","1995","9312",""
"Belarus","1993","Total","October","Data tabulated by year of occurrence","Final figure, complete","1995","9063",""
"Belarus","1993","Total","November","Data tabulated by year of occurrence","Final figure, complete","1995","8521",""
"Belarus","1993","Total","December","Data tabulated by year of occurrence","Final figure, complete","1995","8423",""
"Belarus","1992","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1993","127971",""
"Belarus","1992","Total","January","Data tabulated by year of occurrence","Final figure, complete","1993","10632",""
"Belarus","1992","Total","February","Data tabulated by year of occurrence","Final figure, complete","1993","10189",""
"Belarus","1992","Total","March","Data tabulated by year of occurrence","Final figure, complete","1993","10808",""
"Belarus","1992","Total","April","Data tabulated by year of occurrence","Final figure, complete","1993","10019",""
"Belarus","1992","Total","May","Data tabulated by year of occurrence","Final figure, complete","1993","10842",""
"Belarus","1992","Total","June","Data tabulated by year of occurrence","Final figure, complete","1993","11474",""
"Belarus","1992","Total","July","Data tabulated by year of occurrence","Final figure, complete","1993","11551",""
"Belarus","1992","Total","August","Data tabulated by year of occurrence","Final figure, complete","1993","10705",""
"Belarus","1992","Total","September","Data tabulated by year of occurrence","Final figure, complete","1993","10444",""
"Belarus","1992","Total","October","Data tabulated by year of occurrence","Final figure, complete","1993","10545",""
"Belarus","1992","Total","November","Data tabulated by year of occurrence","Final figure, complete","1993","9956",""
"Belarus","1992","Total","December","Data tabulated by year of occurrence","Final figure, complete","1993","10806",""
"Belarus","1991","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1992","132045",""
