"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Norway","2011","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","5353",""
"Norway","2011","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","5392",""
"Norway","2011","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","5566",""
"Norway","2011","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","5562",""
"Norway","2011","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","5017",""
"Norway","2011","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","4882",""
"Norway","2011","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","4494",""
"Norway","2011","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","4400",""
"Norway","2011","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2012","0",""
"Norway","2010","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2010","61442",""
"Norway","2010","Total","January","Data tabulated by year of occurrence","Final figure, complete","2010","5078",""
"Norway","2010","Total","February","Data tabulated by year of occurrence","Final figure, complete","2010","4738",""
"Norway","2010","Total","March","Data tabulated by year of occurrence","Final figure, complete","2010","5181",""
"Norway","2010","Total","April","Data tabulated by year of occurrence","Final figure, complete","2010","5112",""
"Norway","2010","Total","May","Data tabulated by year of occurrence","Final figure, complete","2010","5262",""
"Norway","2010","Total","June","Data tabulated by year of occurrence","Final figure, complete","2010","5368",""
"Norway","2010","Total","July","Data tabulated by year of occurrence","Final figure, complete","2010","5576",""
"Norway","2010","Total","August","Data tabulated by year of occurrence","Final figure, complete","2010","5357",""
"Norway","2010","Total","September","Data tabulated by year of occurrence","Final figure, complete","2010","5318",""
"Norway","2010","Total","October","Data tabulated by year of occurrence","Final figure, complete","2010","5149",""
"Norway","2010","Total","November","Data tabulated by year of occurrence","Final figure, complete","2010","4697",""
"Norway","2010","Total","December","Data tabulated by year of occurrence","Final figure, complete","2010","4606",""
"Norway","2009","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2010","61807",""
"Norway","2009","Total","January","Data tabulated by year of occurrence","Final figure, complete","2010","5021",""
"Norway","2009","Total","February","Data tabulated by year of occurrence","Final figure, complete","2010","4683",""
"Norway","2009","Total","March","Data tabulated by year of occurrence","Final figure, complete","2010","5100",""
"Norway","2009","Total","April","Data tabulated by year of occurrence","Final figure, complete","2010","5329",""
"Norway","2009","Total","May","Data tabulated by year of occurrence","Final figure, complete","2010","5431",""
"Norway","2009","Total","June","Data tabulated by year of occurrence","Final figure, complete","2010","5446",""
"Norway","2009","Total","July","Data tabulated by year of occurrence","Final figure, complete","2010","5514",""
"Norway","2009","Total","August","Data tabulated by year of occurrence","Final figure, complete","2010","5517",""
"Norway","2009","Total","September","Data tabulated by year of occurrence","Final figure, complete","2010","5329",""
"Norway","2009","Total","October","Data tabulated by year of occurrence","Final figure, complete","2010","4976",""
"Norway","2009","Total","November","Data tabulated by year of occurrence","Final figure, complete","2010","4807",""
"Norway","2009","Total","December","Data tabulated by year of occurrence","Final figure, complete","2010","4654",""
"Norway","2008","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2009","60497",""
"Norway","2008","Total","January","Data tabulated by year of occurrence","Final figure, complete","2009","4916",""
"Norway","2008","Total","February","Data tabulated by year of occurrence","Final figure, complete","2009","4766",""
"Norway","2008","Total","March","Data tabulated by year of occurrence","Final figure, complete","2009","5032",""
"Norway","2008","Total","April","Data tabulated by year of occurrence","Final figure, complete","2009","5200",""
"Norway","2008","Total","May","Data tabulated by year of occurrence","Final figure, complete","2009","5428",""
"Norway","2008","Total","June","Data tabulated by year of occurrence","Final figure, complete","2009","5235",""
"Norway","2008","Total","July","Data tabulated by year of occurrence","Final figure, complete","2009","5548",""
"Norway","2008","Total","August","Data tabulated by year of occurrence","Final figure, complete","2009","5293",""
"Norway","2008","Total","September","Data tabulated by year of occurrence","Final figure, complete","2009","5092",""
"Norway","2008","Total","October","Data tabulated by year of occurrence","Final figure, complete","2009","4931",""
"Norway","2008","Total","November","Data tabulated by year of occurrence","Final figure, complete","2009","4503",""
"Norway","2008","Total","December","Data tabulated by year of occurrence","Final figure, complete","2009","4553",""
"Norway","2007","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","58459",""
"Norway","2007","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","4954",""
"Norway","2007","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","4455",""
"Norway","2007","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","4922",""
"Norway","2007","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","4909",""
"Norway","2007","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","5125",""
"Norway","2007","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","5149",""
"Norway","2007","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","5258",""
"Norway","2007","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","5194",""
"Norway","2007","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","4844",""
"Norway","2007","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","4914",""
"Norway","2007","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","4407",""
"Norway","2007","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","4328",""
"Norway","2006","Total","January - March","Data tabulated by year of occurrence","Provisional figure","2006","14448",""
"Norway","2006","Total","April - June","Data tabulated by year of occurrence","Provisional figure","2006","15164",""
"Norway","2006","Total","July - September","Data tabulated by year of occurrence","Provisional figure","2006","15475",""
"Norway","2006","Total","October - December","Data tabulated by year of occurrence","Provisional figure","2007","13487",""
"Norway","2005","Total","January - March","Data tabulated by year of occurrence","Provisional figure","2005","13940",""
"Norway","2005","Total","April - June","Data tabulated by year of occurrence","Provisional figure","2005","14844",""
"Norway","2005","Total","July - September","Data tabulated by year of occurrence","Provisional figure","2005","14922",""
"Norway","2005","Total","October - December","Data tabulated by year of occurrence","Provisional figure","2005","12964",""
"Norway","2004","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2005","56951",""
"Norway","2004","Total","January","Data tabulated by year of occurrence","Final figure, complete","2005","4873",""
"Norway","2004","Total","February","Data tabulated by year of occurrence","Final figure, complete","2005","4496",""
"Norway","2004","Total","March","Data tabulated by year of occurrence","Final figure, complete","2005","4996",""
"Norway","2004","Total","April","Data tabulated by year of occurrence","Final figure, complete","2005","4872",""
"Norway","2004","Total","May","Data tabulated by year of occurrence","Final figure, complete","2005","4869",""
"Norway","2004","Total","June","Data tabulated by year of occurrence","Final figure, complete","2005","4868",""
"Norway","2004","Total","July","Data tabulated by year of occurrence","Final figure, complete","2005","5210",""
"Norway","2004","Total","August","Data tabulated by year of occurrence","Final figure, complete","2005","4851",""
"Norway","2004","Total","September","Data tabulated by year of occurrence","Final figure, complete","2005","4751",""
"Norway","2004","Total","October","Data tabulated by year of occurrence","Final figure, complete","2005","4603",""
"Norway","2004","Total","November","Data tabulated by year of occurrence","Final figure, complete","2005","4257",""
"Norway","2004","Total","December","Data tabulated by year of occurrence","Final figure, complete","2005","4305",""
"Norway","2003","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2006","56458",""
"Norway","2003","Total","January","Data tabulated by year of occurrence","Final figure, complete","2006","4644",""
"Norway","2003","Total","February","Data tabulated by year of occurrence","Final figure, complete","2006","4226",""
"Norway","2003","Total","March","Data tabulated by year of occurrence","Final figure, complete","2006","4717",""
"Norway","2003","Total","April","Data tabulated by year of occurrence","Final figure, complete","2006","4782",""
"Norway","2003","Total","May","Data tabulated by year of occurrence","Final figure, complete","2006","4998",""
"Norway","2003","Total","June","Data tabulated by year of occurrence","Final figure, complete","2006","4718",""
"Norway","2003","Total","July","Data tabulated by year of occurrence","Final figure, complete","2006","5179",""
"Norway","2003","Total","August","Data tabulated by year of occurrence","Final figure, complete","2006","4965",""
"Norway","2003","Total","September","Data tabulated by year of occurrence","Final figure, complete","2006","4881",""
"Norway","2003","Total","October","Data tabulated by year of occurrence","Final figure, complete","2006","4834",""
"Norway","2003","Total","November","Data tabulated by year of occurrence","Final figure, complete","2006","4258",""
"Norway","2003","Total","December","Data tabulated by year of occurrence","Final figure, complete","2006","4256",""
"Norway","2002","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2004","55434",""
"Norway","2002","Total","January","Data tabulated by year of occurrence","Final figure, complete","2004","4664",""
"Norway","2002","Total","February","Data tabulated by year of occurrence","Final figure, complete","2004","4415",""
"Norway","2002","Total","March","Data tabulated by year of occurrence","Final figure, complete","2004","4777",""
"Norway","2002","Total","April","Data tabulated by year of occurrence","Final figure, complete","2004","4757",""
"Norway","2002","Total","May","Data tabulated by year of occurrence","Final figure, complete","2004","4831",""
"Norway","2002","Total","June","Data tabulated by year of occurrence","Final figure, complete","2004","4663",""
"Norway","2002","Total","July","Data tabulated by year of occurrence","Final figure, complete","2004","5072",""
"Norway","2002","Total","August","Data tabulated by year of occurrence","Final figure, complete","2004","4795",""
"Norway","2002","Total","September","Data tabulated by year of occurrence","Final figure, complete","2004","4613",""
"Norway","2002","Total","October","Data tabulated by year of occurrence","Final figure, complete","2004","4579",""
"Norway","2002","Total","November","Data tabulated by year of occurrence","Final figure, complete","2004","4143",""
"Norway","2002","Total","December","Data tabulated by year of occurrence","Final figure, complete","2004","4125",""
"Norway","2001","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2004","56696",""
"Norway","2001","Total","January","Data tabulated by year of occurrence","Final figure, complete","2004","4959",""
"Norway","2001","Total","February","Data tabulated by year of occurrence","Final figure, complete","2004","4495",""
"Norway","2001","Total","March","Data tabulated by year of occurrence","Final figure, complete","2004","4958",""
"Norway","2001","Total","April","Data tabulated by year of occurrence","Final figure, complete","2004","5009",""
"Norway","2001","Total","May","Data tabulated by year of occurrence","Final figure, complete","2004","5018",""
"Norway","2001","Total","June","Data tabulated by year of occurrence","Final figure, complete","2004","4955",""
"Norway","2001","Total","July","Data tabulated by year of occurrence","Final figure, complete","2004","4919",""
"Norway","2001","Total","August","Data tabulated by year of occurrence","Final figure, complete","2004","4852",""
"Norway","2001","Total","September","Data tabulated by year of occurrence","Final figure, complete","2004","4742",""
"Norway","2001","Total","October","Data tabulated by year of occurrence","Final figure, complete","2004","4555",""
"Norway","2001","Total","November","Data tabulated by year of occurrence","Final figure, complete","2004","4153",""
"Norway","2001","Total","December","Data tabulated by year of occurrence","Final figure, complete","2004","4081",""
"Norway","2000","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2004","59234",""
"Norway","2000","Total","January","Data tabulated by year of occurrence","Final figure, complete","2004","4838",""
"Norway","2000","Total","February","Data tabulated by year of occurrence","Final figure, complete","2004","4988",""
"Norway","2000","Total","March","Data tabulated by year of occurrence","Final figure, complete","2004","5326",""
"Norway","2000","Total","April","Data tabulated by year of occurrence","Final figure, complete","2004","5185",""
"Norway","2000","Total","May","Data tabulated by year of occurrence","Final figure, complete","2004","5421",""
"Norway","2000","Total","June","Data tabulated by year of occurrence","Final figure, complete","2004","4937",""
"Norway","2000","Total","July","Data tabulated by year of occurrence","Final figure, complete","2004","5201",""
"Norway","2000","Total","August","Data tabulated by year of occurrence","Final figure, complete","2004","5118",""
"Norway","2000","Total","September","Data tabulated by year of occurrence","Final figure, complete","2004","4885",""
"Norway","2000","Total","October","Data tabulated by year of occurrence","Final figure, complete","2004","4575",""
